,{},"{kubernetes_node=""node1""}","{kubernetes_node=""node2""}","{kubernetes_node=""node3""}"
2022-12-29 15:40:38,6457733120.0,4737241088.0,843972608.0,876412928.0
2022-12-29 15:40:39,6464126976.0,4739977216.0,844775424.0,875745280.0
2022-12-29 15:40:40,6459674624.0,4738142208.0,845074432.0,875700224.0
2022-12-29 15:40:41,6491787264.0,4760657920.0,850849792.0,878534656.0
2022-12-29 15:40:42,6513848320.0,4751634432.0,870187008.0,892133376.0
2022-12-29 15:40:43,6533332992.0,4753420288.0,871157760.0,909549568.0
2022-12-29 15:40:44,6529196032.0,4745666560.0,871616512.0,911773696.0
2022-12-29 15:40:45,6534365184.0,4748398592.0,873648128.0,913104896.0
2022-12-29 15:40:46,6512017408.0,4747956224.0,851619840.0,913190912.0
2022-12-29 15:40:47,6490583040.0,4747411456.0,852111360.0,890646528.0
2022-12-29 15:40:48,6489038848.0,4745506816.0,853168128.0,890343424.0
2022-12-29 15:40:49,6496993280.0,4747116544.0,854786048.0,890859520.0
2022-12-29 15:40:50,6492950528.0,4749451264.0,851075072.0,891174912.0
2022-12-29 15:40:51,6497755136.0,4751175680.0,852996096.0,891879424.0
2022-12-29 15:40:52,6494695424.0,4751233024.0,852086784.0,891658240.0
2022-12-29 15:40:53,6492430336.0,4748648448.0,852230144.0,891613184.0
2022-12-29 15:40:54,6493417472.0,4748705792.0,853291008.0,890863616.0
2022-12-29 15:40:55,6494609408.0,4746670080.0,855404544.0,893792256.0
2022-12-29 15:40:56,6494015488.0,4743913472.0,856276992.0,893120512.0
2022-12-29 15:40:57,6494621696.0,4800028672.0,855982080.0,894279680.0
2022-12-29 15:40:58,6524391424.0,4750610432.0,881102848.0,892964864.0
2022-12-29 15:40:59,6554619904.0,4751638528.0,889036800.0,896229376.0
2022-12-29 15:41:00,6573199360.0,4751032320.0,892010496.0,926371840.0
2022-12-29 15:41:01,6574084096.0,4752822272.0,896745472.0,924786688.0
2022-12-29 15:41:02,6567927808.0,4745773056.0,898367488.0,924086272.0
2022-12-29 15:41:03,6550077440.0,4745437184.0,876818432.0,926740480.0
